시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 원주시 명륜동,376,376,0,단구1단지,32.43,202201,7,"11,300",5,1988,남원로527번길 61,,중개거래,강원 원주시
강원도 원주시 명륜동,124,124,0,대성현대,84.915,202201,4,"13,000",11,1991,향교길 53,,직거래,-
강원도 원주시 명륜동,847-5,847,5,동보노빌리티1,84.784,202201,7,"22,700",6,2001,시청로 255,,중개거래,강원 원주시
강원도 원주시 명륜동,847-5,847,5,동보노빌리티1,84.784,202201,8,"23,000",15,2001,시청로 255,,중개거래,강원 원주시
강원도 원주시 명륜동,Jan-90,90,1,세경1,56.42,202201,11,"9,500",4,1985,남원로 661,,직거래,-
강원도 원주시 명륜동,765,765,0,한솔솔파크,84.917,202201,3,"28,000",3,2006,한지공원길 102,,중개거래,강원 원주시
강원도 원주시 명륜동,710,710,0,행운,41.3,202201,6,"8,200",9,1992,예술관길 32,,중개거래,강원 원주시
강원도 원주시 명륜동,205-37,205,37,현대1,71.52,202201,4,"16,500",7,1990,남산로 30,,중개거래,강원 원주시
강원도 원주시 무실동,1645,1645,0,무실주공3단지,59.92,202201,2,"23,000",9,2003,시청로 92,,중개거래,강원 원주시
강원도 원주시 무실동,1640,1640,0,요진보네르카운티,86.69,202201,7,"29,000",1,2004,시청로 64,,직거래,-
강원도 원주시 무실동,1715-1,1715,1,원주무실6단지휴먼시아,84.81,202201,8,"35,500",9,2010,만대로 119,,중개거래,강원 원주시
강원도 원주시 문막읍 건등리,194-1,194,1,대보,56.6,202201,7,"4,200",1,1991,원문로 1613,,중개거래,강원 원주시
강원도 원주시 문막읍 건등리,1697-1,1697,1,삼익,59.5,202201,4,"6,900",1,1997,건등로 27,,중개거래,강원 원주시
강원도 원주시 문막읍 건등리,1743,1743,0,서원주코아루아너스,84.625,202201,6,"22,900",13,2018,원문로 1700,,중개거래,강원 원주시
강원도 원주시 문막읍 동화리,1264-3,1264,3,동보렉스6차,59.7,202201,8,"5,400",1,1993,원문로 1578,,중개거래,강원 원주시
강원도 원주시 문막읍 포진리,85,85,0,그린아파트,54.99,202201,5,"3,200",5,1995,삼괴정길 6,,직거래,-
강원도 원주시 반곡동,1800,1800,0,반곡벽산블루밍1차,125.194,202201,8,"34,500",15,2007,반곡길 48,,중개거래,강원 원주시
강원도 원주시 반곡동,1800,1800,0,반곡벽산블루밍1차,123.52,202201,10,"31,700",6,2007,반곡길 48,,중개거래,강원 원주시
